"mapdate","fips","county","state","none","d0","d1","d2","d3","d4","validstart","validend","statisticformatid","date"
"2000-12-26T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-12-26T00:00:00","2001-01-01T23:59:00",1,2000-12-26
"2000-12-19T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-12-19T00:00:00","2000-12-25T23:59:00",1,2000-12-19
"2000-12-12T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-12-12T00:00:00","2000-12-18T23:59:00",1,2000-12-12
"2000-12-05T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-12-05T00:00:00","2000-12-11T23:59:00",1,2000-12-05
"2000-11-28T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-11-28T00:00:00","2000-12-04T23:59:00",1,2000-11-28
"2000-11-21T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-11-21T00:00:00","2000-11-27T23:59:00",1,2000-11-21
"2000-11-14T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-11-14T00:00:00","2000-11-20T23:59:00",1,2000-11-14
"2000-11-07T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-11-07T00:00:00","2000-11-13T23:59:00",1,2000-11-07
"2000-10-31T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-10-31T00:00:00","2000-11-06T23:59:00",1,2000-10-31
"2000-10-24T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-10-24T00:00:00","2000-10-30T23:59:00",1,2000-10-24
"2000-10-17T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-10-17T00:00:00","2000-10-23T23:59:00",1,2000-10-17
"2000-10-10T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-10-10T00:00:00","2000-10-16T23:59:00",1,2000-10-10
"2000-10-03T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-10-03T00:00:00","2000-10-09T23:59:00",1,2000-10-03
"2000-09-26T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-09-26T00:00:00","2000-10-02T23:59:00",1,2000-09-26
"2000-09-19T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-09-19T00:00:00","2000-09-25T23:59:00",1,2000-09-19
"2000-09-12T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-09-12T00:00:00","2000-09-18T23:59:00",1,2000-09-12
"2000-09-05T00:00:00","53025","Grant","WA",1360.89,1430.74,0,0,0,0,"2000-09-05T00:00:00","2000-09-11T23:59:00",1,2000-09-05
"2000-08-29T00:00:00","53025","Grant","WA",1043.87,1747.76,0,0,0,0,"2000-08-29T00:00:00","2000-09-04T23:59:00",1,2000-08-29
"2000-08-22T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-08-22T00:00:00","2000-08-28T23:59:00",1,2000-08-22
"2000-08-15T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-08-15T00:00:00","2000-08-21T23:59:00",1,2000-08-15
"2000-08-08T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-08-08T00:00:00","2000-08-14T23:59:00",1,2000-08-08
"2000-08-01T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-08-01T00:00:00","2000-08-07T23:59:00",1,2000-08-01
"2000-07-25T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-07-25T00:00:00","2000-07-31T23:59:00",1,2000-07-25
"2000-07-18T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-07-18T00:00:00","2000-07-24T23:59:00",1,2000-07-18
"2000-07-11T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-07-11T00:00:00","2000-07-17T23:59:00",1,2000-07-11
"2000-07-04T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-07-04T00:00:00","2000-07-10T23:59:00",1,2000-07-04
"2000-06-27T00:00:00","53025","Grant","WA",2791.63,0,0,0,0,0,"2000-06-27T00:00:00","2000-07-03T23:59:00",1,2000-06-27
