"date","None","D0","D1","D2","D3","D4","DSCI"
2000-01-04,100,0,0,0,0,0,0
2000-01-11,100,0,0,0,0,0,0
2000-01-18,100,0,0,0,0,0,0
2000-01-25,100,0,0,0,0,0,0
2000-02-01,100,0,0,0,0,0,0
2000-02-08,100,0,0,0,0,0,0
2000-02-15,100,0,0,0,0,0,0
2000-02-22,100,0,0,0,0,0,0
2000-02-29,100,0,0,0,0,0,0
2000-03-07,100,0,0,0,0,0,0
2000-03-14,100,0,0,0,0,0,0
2000-03-21,100,0,0,0,0,0,0
2000-03-28,100,0,0,0,0,0,0
2000-04-04,100,0,0,0,0,0,0
2000-04-11,100,0,0,0,0,0,0
2000-04-18,100,0,0,0,0,0,0
2000-04-25,100,0,0,0,0,0,0
2000-05-02,100,0,0,0,0,0,0
2000-05-09,100,0,0,0,0,0,0
2000-05-16,100,0,0,0,0,0,0
2000-05-23,100,0,0,0,0,0,0
2000-05-30,100,0,0,0,0,0,0
2000-06-06,100,0,0,0,0,0,0
2000-06-13,100,0,0,0,0,0,0
2000-06-20,100,0,0,0,0,0,0
2000-06-27,100,0,0,0,0,0,0
2000-07-04,100,0,0,0,0,0,0
2000-07-11,100,0,0,0,0,0,0
2000-07-18,100,0,0,0,0,0,0
2000-07-25,100,0,0,0,0,0,0
2000-08-01,100,0,0,0,0,0,0
2000-08-08,67.9878880748966,32.0121119251034,0,0,0,0,32.0121119251034
2000-08-15,67.9907848749601,32.0092151250399,0,0,0,0,32.0092151250399
2000-08-22,67.9907848749601,32.0092151250399,0,0,0,0,32.0092151250399
2000-08-29,30.7487412774048,69.2512587225952,0,0,0,0,69.2512587225952
2000-09-05,39.4078085723518,60.5921914276482,0,0,0,0,60.5921914276482
2000-09-12,100,0,0,0,0,0,0
2000-09-19,100,0,0,0,0,0,0
2000-09-26,100,0,0,0,0,0,0
2000-10-03,100,0,0,0,0,0,0
2000-10-10,100,0,0,0,0,0,0
2000-10-17,100,0,0,0,0,0,0
2000-10-24,100,0,0,0,0,0,0
2000-10-31,100,0,0,0,0,0,0
2000-11-07,100,0,0,0,0,0,0
2000-11-14,100,0,0,0,0,0,0
